age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
25-34,Marketing,Content/Copywriter,115000,USD,United States,5-7 years,College degree,Woman
35-44,Legal,Project Manager,58000,USD,United States,11 - 20 years,Some college,Woman
25-34,Engineering/Manufacturing,Other,76000,USD,United States,5-7 years,College degree,Woman
35-44,Government,Other,52650,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Marketing,Manager (General),70000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Manager (General),80000,USD,United States,1 year or less,Master's degree,Man
35-44,Nonprofit,Director,160000,USD,Other,8 - 10 years,College degree,Woman
25-34,Media/Entertainment,Writer/Editor,85000,USD,United States,5-7 years,Master's degree,Prefer not to answer
45-54,Education,Other,42500,USD,United States,2 - 4 years,Some college,Woman
25-34,Education,Librarian,57500,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Government,Other,95000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Finance,Other,69000,USD,United States,2 - 4 years,Master's degree,Man
25-34,Nonprofit,Director,74651,USD,United States,2 - 4 years,PhD,Prefer not to answer
25-34,Information Technology,Product Manager,95000,USD,United States,5-7 years,Master's degree,Man
55-64,Information Technology,Manager (General),97000,USD,United States,21 - 30 years,Some college,Woman
35-44,Nonprofit,Director,78000,CAD,Canada,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Legal,Data Scientist/Analyst,48000,USD,United States,1 year or less,College degree,Woman
25-34,Government,Analyst (General),65332,USD,United States,1 year or less,College degree,Woman
45-54,Government,Other,88000,USD,Other,11 - 20 years,College degree,Woman
25-34,Health,Administrative Assistant,57000,USD,United States,8 - 10 years,College degree,Woman
18-24,Nonprofit,Other,40000,USD,United States,1 year or less,College degree,Woman
25-34,Government,Other,56394,USD,United States,5-7 years,Master's degree,Woman
45-54,Government,Writer/Editor,134000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Coordinator,53000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Analyst (General),78000,USD,United States,1 year or less,PhD,Woman
35-44,Business/Consulting,Other,130000,USD,United States,11 - 20 years,College degree,Woman
25-34,Health,Other,35000,GBP,United Kingdom,5-7 years,PhD,Woman
45-54,Nonprofit,Coordinator,50000,USD,United States,2 - 4 years,College degree,Woman
55-64,Government,Other,32000,USD,United States,2 - 4 years,PhD,Man
25-34,Finance,Analyst (General),60000,USD,United States,2 - 4 years,College degree,Woman
35-44,Health,Manager (General),34000,USD,United States,8 - 10 years,Some college,Woman
45-54,Finance,Other,70000,USD,United States,5-7 years,College degree,Woman
45-54,Nonprofit,Executive (C-Suite),124000,USD,United States,11 - 20 years,College degree,Woman
18-24,Media/Entertainment,Coordinator,45000,CAD,Canada,1 year or less,Master's degree,Woman
35-44,Other,Librarian,56000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Energy,Other,58000,USD,United States,2 - 4 years,College degree,Woman
35-44,Finance,Director,60000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Media/Entertainment,Manager (General),50000,GBP,United Kingdom,5-7 years,College degree,Woman
25-34,Real Estate,Coordinator,40000,USD,United States,8 - 10 years,College degree,Woman
25-34,Information Technology,Engineer (Non-software),170000,USD,United States,5-7 years,College degree,Woman
35-44,Information Technology,Writer/Editor,75000,USD,United States,11 - 20 years,College degree,Woman
25-34,Marketing,Director,104000,USD,United States,5-7 years,College degree,Woman
35-44,Arts/Design,Manager (General),77000,USD,United States,5-7 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Other,82500,USD,United States,11 - 20 years,College degree,Woman
25-34,Legal,Lawyer/Attorney,87500,USD,United States,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Education,Writer/Editor,48500,USD,United States,2 - 4 years,College degree,Woman
25-34,Nonprofit,Other,60000,USD,United States,5-7 years,College degree,Woman
25-34,Government,Supervisor,32000,USD,United States,2 - 4 years,College degree,Prefer not to answer
35-44,Government,Administrative Assistant,83000,USD,United States,11 - 20 years,College degree,Woman
35-44,Finance,Accountant,75000,USD,Other,2 - 4 years,College degree,Woman
45-54,Education,Librarian,68000,USD,Other,21 - 30 years,Master's degree,Woman
25-34,Nonprofit,Coordinator,52500,USD,Other,2 - 4 years,Some college,Prefer not to answer
25-34,Legal,Manager (General),77250,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Nonprofit,Other,64000,USD,Other,11 - 20 years,College degree,Woman
35-44,Biotech,Principal/Administrator (Edu),120000,USD,United States,8 - 10 years,PhD,Woman
25-34,Engineering/Manufacturing,Other,57845,USD,United States,5-7 years,College degree,Woman
18-24,Health,Coordinator,53000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Principal/Administrator (Edu),96000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Principal/Administrator (Edu),112000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Marketing,Analyst (General),72000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Manager (General),23541,GBP,United Kingdom,8 - 10 years,Master's degree,Woman
25-34,Finance,QA/Test Engineer,65000,USD,United States,5-7 years,College degree,Woman
35-44,Engineering/Manufacturing,Other,80000,USD,United States,5-7 years,Master's degree,Woman
25-34,Media/Entertainment,Director,106433,USD,United States,8 - 10 years,College degree,Woman
25-34,Education,Coordinator,44000,USD,United States,8 - 10 years,Master's degree,Woman
18-24,Finance,Other,27000,USD,United States,2 - 4 years,High School,Woman
25-34,Retail/Sales,Manager (General),90000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Customer Service,53000,USD,United States,2 - 4 years,College degree,Woman
35-44,Health,Other,80000,USD,United States,11 - 20 years,College degree,Woman
18-24,Other,Sales Representative,70000,USD,United States,2 - 4 years,College degree,Woman
25-34,Nonprofit,Manager (General),45000,USD,United States,2 - 4 years,College degree,Woman
25-34,Government,Other,77800,USD,United States,5-7 years,College degree,Woman
25-34,Education,Director,70000,USD,United States,8 - 10 years,PhD,Woman
25-34,Media/Entertainment,Other,123000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Administrative Assistant,36000,USD,United States,8 - 10 years,College degree,Woman
25-34,Health,Manager (General),90000,USD,United States,5-7 years,Master's degree,Woman
25-34,Arts/Design,Graphic Designer,54000,USD,United States,8 - 10 years,College degree,Woman
35-44,Health,Other,44096,USD,Other,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),75000,USD,United States,5-7 years,Master's degree,Woman
35-44,Health,Team Lead,64000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Other,38000,USD,United States,2 - 4 years,College degree,Woman
25-34,Finance,Analyst (General),86700,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Government,Other,68000,USD,United States,5-7 years,Master's degree,Woman
25-34,Media/Entertainment,Writer/Editor,55000,USD,United States,5-7 years,College degree,Woman
35-44,Finance,Financial Analyst,87500,USD,United States,5-7 years,Master's degree,Man
25-34,Nonprofit,Other,56000,CAD,Canada,2 - 4 years,College degree,Woman
35-44,Marketing,Executive (C-Suite),190000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Government,Director,97000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Government,Other,60000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Other,49000,USD,United States,2 - 4 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),52000,USD,United States,2 - 4 years,College degree,Man
25-34,Nonprofit,Other,45000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Information Technology,Other,225000,USD,United States,11 - 20 years,College degree,Man
35-44,Information Technology,Director,12500,GBP,United Kingdom,11 - 20 years,Master's degree,Man
25-34,Education,Coordinator,65000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Other,50000,USD,United States,5-7 years,College degree,Woman
25-34,Media/Entertainment,Manager (General),42000,GBP,United Kingdom,8 - 10 years,College degree,Woman
35-44,Legal,Other,75600,USD,United States,5-7 years,College degree,Woman
35-44,Finance,Other,50000,USD,United States,5-7 years,Some college,Man
25-34,Engineering/Manufacturing,Director,83000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Other,94000,USD,United States,5-7 years,College degree,Woman
35-44,,Manager (General),115000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Health,Other,64000,USD,United States,5-7 years,Some college,Woman
25-34,Government,Other,32000,USD,United States,1 year or less,Some college,Woman
55-64,Energy,Other,53040,USD,United States,11 - 20 years,College degree,Woman
45-54,Engineering/Manufacturing,Other,153000,USD,United States,11 - 20 years,College degree,Man
25-34,Finance,Other,41000,CAD,Canada,2 - 4 years,College degree,Woman
35-44,Finance,Manager (General),86000,USD,United States,11 - 20 years,College degree,Woman
65 or over,Finance,Customer Service,40000,USD,United States,31 - 40 years,College degree,Woman
35-44,,Manager (General),40000,USD,United States,11 - 20 years,High School,Woman
25-34,Information Technology,Engineer (Non-software),55156,EUR,Netherlands,2 - 4 years,Some college,Woman
35-44,Transportation,Supervisor,72775,USD,United States,11 - 20 years,College degree,Woman
35-44,Transportation,Other,65000,USD,United States,11 - 20 years,Some college,Woman
35-44,Information Technology,IT/Systems,95000,USD,United States,8 - 10 years,Master's degree,Man
25-34,Other,HR Generalist/Manager,45000,USD,United States,1 year or less,College degree,Woman
25-34,Nonprofit,Other,92000,USD,United States,5-7 years,College degree,Man
25-34,Business/Consulting,Team Lead,110000,USD,United States,5-7 years,College degree,Woman
35-44,Government,Other,83000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Nonprofit,Director,39520,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Information Technology,Project Manager,185000,USD,United States,21 - 30 years,College degree,Woman
25-34,Government,Accountant,30000,USD,United States,2 - 4 years,College degree,Woman
35-44,Information Technology,Other,114400,USD,United States,1 year or less,College degree,Prefer not to answer
25-34,Nonprofit,Other,55000,USD,United States,5-7 years,College degree,Woman
25-34,Government,Manager (General),45900,USD,United States,5-7 years,College degree,Woman
35-44,Engineering/Manufacturing,Engineer (Non-software),96000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Other,51000,USD,United States,8 - 10 years,College degree,Woman
25-34,Education,Teacher (K-12),90000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Marketing,Manager (General),125000,USD,United States,5-7 years,College degree,Woman
55-64,Finance,Other,62000,USD,United States,31 - 40 years,Some college,Man
18-24,Government,Manager (General),59000,USD,United States,2 - 4 years,College degree,Woman
25-34,Education,Other,79000,USD,United States,5-7 years,Master's degree,Man
35-44,Information Technology,Other,58000,USD,United States,5-7 years,College degree,Man
35-44,Health,Other,35000,USD,United States,2 - 4 years,College degree,Woman
35-44,Information Technology,Consultant,147000,USD,United States,11 - 20 years,College degree,Woman
45-54,Education,Other,36000,USD,United States,2 - 4 years,College degree,Woman
35-44,Other,Other,21179,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
35-44,Legal,Other,72000,USD,United States,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
18-24,Government,Other,44755,USD,United States,2 - 4 years,Some college,Prefer not to answer
25-34,Media/Entertainment,Other,60000,USD,United States,5-7 years,College degree,Woman
35-44,Finance,Other,71500,CAD,Canada,11 - 20 years,College degree,Woman
25-34,Government,Other,40000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Health,Nurse,79000,USD,United States,11 - 20 years,College degree,Woman
35-44,Health,Other,135000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Coordinator,53000,USD,Other,11 - 20 years,Master's degree,Woman
55-64,Information Technology,Other,127553,USD,United States,31 - 40 years,College degree,Man
35-44,Government,Analyst (General),101024,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),134000,USD,United States,5-7 years,PhD,Woman
35-44,Education,Director,63000,USD,United States,11 - 20 years,Master's degree,Woman
18-24,Nonprofit,Other,42972,USD,United States,2 - 4 years,College degree,Woman
35-44,Government,Other,66000,USD,Other,2 - 4 years,College degree,Woman
25-34,,Analyst (General),61000,USD,United States,5-7 years,College degree,Woman
35-44,Engineering/Manufacturing,Other,22256,GBP,United Kingdom,11 - 20 years,Master's degree,Woman
45-54,Education,Teacher (K-12),63000,USD,United States,5-7 years,Master's degree,Woman
25-34,Business/Consulting,Consultant,100000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,,Other,45000,EUR,Ireland,2 - 4 years,Master's degree,Woman
25-34,Education,Other,27500,GBP,United Kingdom,2 - 4 years,College degree,Woman
35-44,Real Estate,Project Manager,55000,USD,United States,5-7 years,College degree,Woman
25-34,Nonprofit,Manager (General),98000,USD,United States,2 - 4 years,College degree,Man
25-34,Finance,Accountant,33700,EUR,Ireland,2 - 4 years,College degree,Woman
35-44,Information Technology,Consultant,118560,USD,United States,8 - 10 years,College degree,Woman
25-34,Business/Consulting,Administrative Assistant,31200,USD,United States,11 - 20 years,High School,Woman
35-44,Health,Manager (General),63595,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Engineer (Non-software),130000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Other,27000,USD,United States,5-7 years,High School,Woman
25-34,Nonprofit,IT/Systems,66000,USD,United States,8 - 10 years,College degree,Woman
35-44,Other,Manager (General),64000,USD,United States,8 - 10 years,College degree,Woman
55-64,Energy,Other,67500,USD,United States,8 - 10 years,High School,Woman
35-44,Government,Analyst (General),64000,USD,United States,8 - 10 years,College degree,Woman
55-64,Engineering/Manufacturing,Manager (General),110000,USD,United States,11 - 20 years,Master's degree,Woman
55-64,Other,Product Manager,103000,USD,United States,31 - 40 years,Some college,Woman
55-64,Arts/Design,Executive (C-Suite),3000000,USD,United States,21 - 30 years,Master's degree,Woman
35-44,Marketing,Manager (General),65000,USD,United States,5-7 years,,Prefer not to answer
25-34,Other,Manager (General),52000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Arts/Design,Other,60000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Other,55000,USD,United States,8 - 10 years,PhD,Woman
25-34,Other,Manager (General),81000,USD,United States,5-7 years,Master's degree,Man
25-34,Retail/Sales,Other,20000,GBP,United Kingdom,5-7 years,Some college,Woman
35-44,Government,Analyst (General),120000,USD,United States,5-7 years,PhD,Woman
25-34,Finance,Customer Service,51000,USD,United States,5-7 years,College degree,Woman
25-34,Education,Coordinator,60000,USD,United States,2 - 4 years,College degree,Woman
18-24,Legal,Other,87500,USD,United States,2 - 4 years,College degree,Woman
35-44,Health,IT/Systems,115000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Accountant,64200,USD,United States,5-7 years,College degree,Woman
55-64,Government,Executive Assistant,58000,USD,United States,21 - 30 years,College degree,Woman
35-44,Information Technology,Project Manager,120000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Other,Coordinator,47000,USD,United States,5-7 years,Master's degree,Woman
25-34,Other,Supervisor,52000,USD,United States,1 year or less,Master's degree,Woman
18-24,Nonprofit,Other,45000,USD,United States,1 year or less,College degree,Prefer not to answer
18-24,Finance,Analyst (General),90000,USD,United States,2 - 4 years,College degree,Woman
25-34,Business/Consulting,Executive (C-Suite),101000,USD,United States,8 - 10 years,Master's degree,Man
35-44,Engineering/Manufacturing,Engineer (Non-software),134000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Education,Other,30000,USD,United States,1 year or less,College degree,Woman
35-44,Other,Coordinator,68000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Marketing,Manager (General),70000,USD,United States,5-7 years,College degree,Woman
65 or over,Health,Manager (General),127000,USD,United States,31 - 40 years,High School,Woman
35-44,Business/Consulting,Other,66000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Marketing,Other,41000,USD,United States,2 - 4 years,College degree,Woman
35-44,Information Technology,Librarian,77200,USD,United States,5-7 years,Master's degree,Woman
25-34,Media/Entertainment,Other,55000,CAD,Canada,2 - 4 years,Master's degree,Woman
25-34,Information Technology,Software Engineer,135000,USD,United States,5-7 years,College degree,Woman
25-34,Finance,Supervisor,65000,USD,Other,5-7 years,Master's degree,Woman
35-44,Energy,Manager (General),158000,USD,United States,11 - 20 years,Master's degree,Man
45-54,Information Technology,Engineer (Non-software),98000,USD,United States,21 - 30 years,College degree,Woman
18-24,Business/Consulting,Other,76000,USD,United States,1 year or less,College degree,Woman
18-24,Education,Project Manager,60000,USD,United States,1 year or less,Master's degree,Woman
25-34,Other,Other,63000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Director,45000,USD,United States,5-7 years,College degree,Woman
35-44,Media/Entertainment,Librarian,65000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Government,Other,86132,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Education,Project Manager,56000,USD,United States,2 - 4 years,College degree,Woman
35-44,Retail/Sales,Manager (General),38000,GBP,United Kingdom,11 - 20 years,College degree,Woman
25-34,Media/Entertainment,Writer/Editor,62500,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Health,Other,74885,USD,United States,5-7 years,"Professional degree (MD, JD, etc.)",Woman
45-54,Finance,Manager (General),112000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Health,Project Manager,56000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Business/Consulting,Consultant,42750,EUR,Netherlands,1 year or less,Master's degree,Man
35-44,Finance,Director,145000,USD,United States,11 - 20 years,Master's degree,Man
35-44,Finance,HR Generalist/Manager,131100,USD,United States,11 - 20 years,Some college,Woman
35-44,Other,Director,130000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Other,Supervisor,66000,CAD,Canada,11 - 20 years,Master's degree,Woman
25-34,Education,Other,44000,USD,United States,5-7 years,College degree,Woman
35-44,Government,Lawyer/Attorney,120000,USD,United States,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Marketing,Writer/Editor,46000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),61500,USD,United States,5-7 years,College degree,Woman
25-34,Other,Director,82500,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,QA/Test Engineer,68000,USD,United States,5-7 years,College degree,Man
25-34,Nonprofit,Coordinator,38000,USD,United States,5-7 years,College degree,Man
45-54,Information Technology,Team Lead,130000,CAD,Canada,21 - 30 years,Some college,Man
25-34,Education,Other,65000,USD,United States,2 - 4 years,College degree,Prefer not to answer
35-44,Marketing,Manager (General),150000,USD,United States,5-7 years,College degree,Man
45-54,Other,Director,85000,USD,United States,21 - 30 years,Master's degree,Woman
45-54,Energy,Manager (General),38000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Other,52000,USD,United States,8 - 10 years,Master's degree,Man
35-44,Education,Manager (General),50000,USD,United States,8 - 10 years,Master's degree,Woman
45-54,Media/Entertainment,Writer/Editor,25000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Marketing,Sales Representative,55000,USD,United States,5-7 years,College degree,Woman
18-24,Engineering/Manufacturing,Coordinator,57000,USD,United States,2 - 4 years,College degree,Woman
35-44,Government,Other,77922,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Executive Assistant,55000,CAD,Canada,11 - 20 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Manager (General),120000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Finance,Writer/Editor,121000,USD,United States,21 - 30 years,College degree,Woman
65 or over,Government,Director,124000,USD,United States,21 - 30 years,Master's degree,Woman
25-34,Information Technology,IT/Systems,95000,USD,United States,8 - 10 years,College degree,Woman
35-44,Nonprofit,Director,84000,USD,United States,8 - 10 years,Master's degree,Man
55-64,Health,Data Scientist/Analyst,86000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Coordinator,65000,USD,United States,8 - 10 years,College degree,Woman
25-34,Government,Other,43000,USD,Other,5-7 years,College degree,Woman
35-44,Health,Other,52000,USD,Other,2 - 4 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),85000,USD,United States,5-7 years,Master's degree,Man
45-54,Health,Other,55000,USD,United States,11 - 20 years,Some college,Woman
25-34,Business/Consulting,Project Manager,63000,USD,United States,2 - 4 years,College degree,Woman
45-54,Other,Director,40000,USD,United States,21 - 30 years,College degree,Woman
35-44,Legal,Other,36000,USD,United States,8 - 10 years,College degree,Woman
35-44,Health,Other,46800,USD,United States,8 - 10 years,Some college,Woman
25-34,Biotech,Data Scientist/Analyst,110000,USD,United States,5-7 years,Master's degree,Woman
35-44,Information Technology,Software Engineer,131000,USD,United States,5-7 years,College degree,Man
35-44,Business/Consulting,Executive (C-Suite),175000,USD,United States,8 - 10 years,College degree,Man
25-34,Marketing,Other,27950,GBP,United Kingdom,8 - 10 years,College degree,Woman
18-24,Marketing,Data Scientist/Analyst,21000,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
25-34,Legal,Librarian,103000,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
25-34,Media/Entertainment,Writer/Editor,83000,USD,United States,11 - 20 years,College degree,Woman
25-34,Energy,Analyst (General),100000,USD,United States,5-7 years,College degree,Woman
35-44,Engineering/Manufacturing,Project Manager,72000,USD,United States,11 - 20 years,College degree,Woman
45-54,Government,Other,119915,CAD,Canada,11 - 20 years,College degree,Woman
25-34,Business/Consulting,Consultant,147000,USD,United States,5-7 years,College degree,Woman
25-34,Information Technology,Other,64000,USD,United States,5-7 years,College degree,Woman
25-34,Information Technology,Consultant,162760,USD,United States,8 - 10 years,College degree,Woman
45-54,Education,Administrative Assistant,35000,USD,United States,31 - 40 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Other,57636,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Health,Consultant,120000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Education,Other,48500,USD,United States,5-7 years,PhD,Woman
25-34,Engineering/Manufacturing,Manager (General),115000,USD,United States,8 - 10 years,College degree,Woman
25-34,Nonprofit,Manager (General),84500,USD,United States,5-7 years,College degree,Woman
25-34,Marketing,Manager (General),98000,USD,United States,8 - 10 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),91355,USD,United States,1 year or less,Master's degree,Woman
25-34,Marketing,Project Manager,33,EUR,Germany,2 - 4 years,Master's degree,Woman
25-34,Media/Entertainment,Director,123000,USD,United States,8 - 10 years,College degree,Woman
25-34,Education,Teacher (K-12),55000,USD,United States,5-7 years,Master's degree,Woman
25-34,Media/Entertainment,Other,55900,USD,United States,2 - 4 years,College degree,Woman
45-54,Hospitality,Other,104000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Information Technology,Other,117000,USD,United States,2 - 4 years,Master's degree,Man
25-34,Information Technology,Data Scientist/Analyst,68000,EUR,France,2 - 4 years,PhD,Man
25-34,Nonprofit,Other,25481,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
55-64,Media/Entertainment,Writer/Editor,63420,USD,United States,21 - 30 years,Some college,Woman
25-34,Information Technology,Manager (General),100000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Professor/Faculty,52500,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Manager (General),60000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Energy,Project Manager,71000,USD,United States,5-7 years,College degree,Woman
35-44,Health,Manager (General),89000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Director,60000,USD,United States,5-7 years,Master's degree,Prefer not to answer
25-34,Finance,Manager (General),102000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Health,Analyst (General),110000,USD,United States,21 - 30 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),84000,USD,Other,5-7 years,Master's degree,Woman
25-34,Information Technology,Product Manager,45000,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
35-44,Education,Manager (General),100000,USD,United States,5-7 years,Master's degree,Prefer not to answer
25-34,Finance,Other,37000,USD,Other,2 - 4 years,College degree,Woman
35-44,Nonprofit,Director,64500,USD,United States,8 - 10 years,College degree,Woman
25-34,Legal,Other,57000,USD,United States,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Legal,Other,250000,USD,United States,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
55-64,Health,Other,114000,USD,United States,11 - 20 years,PhD,Woman
25-34,Education,Analyst (General),70040,USD,United States,2 - 4 years,Master's degree,Man
55-64,Education,Other,53000,USD,United States,2 - 4 years,College degree,Woman
35-44,Education,Professor/Faculty,66000,EUR,Other,11 - 20 years,PhD,Woman
25-34,Finance,Other,59600,EUR,France,8 - 10 years,Master's degree,Woman
25-34,Other,Other,65000,USD,United States,5-7 years,Master's degree,Woman
25-34,Marketing,Project Manager,25300,GBP,United Kingdom,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Other,55000,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
35-44,Legal,Manager (General),100000,USD,United States,8 - 10 years,College degree,Woman
25-34,Legal,Paralegal,54000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Transportation,Director,170000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Nonprofit,Director,82200,USD,United States,8 - 10 years,College degree,Woman
25-34,Information Technology,Analyst (General),57000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Education,QA/Test Engineer,68150,CAD,Canada,5-7 years,College degree,Woman
35-44,Nonprofit,Coordinator,54000,USD,United States,11 - 20 years,College degree,Woman
35-44,Government,Other,98000,USD,United States,8 - 10 years,College degree,Woman
35-44,Education,Librarian,88000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Other,61000,USD,United States,8 - 10 years,College degree,Woman
35-44,Nonprofit,HR Generalist/Manager,47000,GBP,United Kingdom,8 - 10 years,Master's degree,Woman
25-34,Education,Director,90000,USD,United States,2 - 4 years,Master's degree,Woman
65 or over,Retail/Sales,Controller,120000,USD,United States,21 - 30 years,College degree,Woman
55-64,Health,Receptionist,31200,USD,United States,2 - 4 years,College degree,Woman
45-54,Nonprofit,Director,72000,CAD,Canada,21 - 30 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),75000,USD,United States,5-7 years,College degree,Prefer not to answer
35-44,Finance,Director,175000,USD,United States,21 - 30 years,Master's degree,Woman
25-34,Education,Analyst (General),42078,USD,United States,2 - 4 years,Some college,Woman
25-34,Business/Consulting,Consultant,80000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),65000,USD,United States,5-7 years,Master's degree,Man
25-34,Other,Project Manager,70000,USD,United States,8 - 10 years,Master's degree,Woman
45-54,Information Technology,Writer/Editor,110000,USD,United States,21 - 30 years,College degree,Man
25-34,Information Technology,Other,56400,EUR,Netherlands,5-7 years,Master's degree,Man
35-44,Education,Other,77000,USD,United States,5-7 years,Master's degree,Woman
25-34,Information Technology,Manager (General),100000,USD,United States,5-7 years,College degree,Woman
25-34,Education,Product Manager,110000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Coordinator,65000,USD,United States,11 - 20 years,College degree,Woman
25-34,Legal,Other,125000,USD,United States,5-7 years,Master's degree,Woman
25-34,Health,Director,75000,USD,United States,5-7 years,Some college,Woman
25-34,Other,Coordinator,46000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Government,Analyst (General),146500,USD,United States,11 - 20 years,College degree,Woman
35-44,Information Technology,Other,35000,USD,United States,1 year or less,College degree,Woman
25-34,Health,Other,50000,USD,United States,8 - 10 years,College degree,Woman
25-34,Education,Other,30300,USD,United States,2 - 4 years,College degree,Woman
25-34,Nonprofit,Coordinator,60000,USD,United States,8 - 10 years,Some college,Woman
25-34,Government,Manager (General),52740,USD,United States,5-7 years,Master's degree,Woman
