age_range,industry,job_title,annual_salary,currency,country,current_years_experience,education,gender
35-44,Education,Teacher (K-12),75000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Education,Manager (General),80000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Information Technology,Analyst (General),125000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Other,65000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Education,Teacher (K-12),36000,GBP,United Kingdom,21 - 30 years,College degree,Woman
25-34,Nonprofit,Graphic Designer,55000,USD,United States,2 - 4 years,College degree,Woman
25-34,Arts/Design,UX/UI Designer,90000,USD,United States,8 - 10 years,College degree,Woman
35-44,Engineering/Manufacturing,Engineer (Non-software),105000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Other,60000,CAD,Canada,11 - 20 years,High School,Man
35-44,Education,Other,65000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Business/Consulting,Project Manager,85000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Other,Other,39520,USD,United States,2 - 4 years,Some college,Woman
45-54,Information Technology,Director,115000,CAD,Canada,21 - 30 years,Master's degree,Man
25-34,Energy,Analyst (General),76000,USD,United States,5-7 years,College degree,Woman
55-64,Business/Consulting,Executive (C-Suite),180000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Finance,Manager (General),90000,USD,United States,5-7 years,Master's degree,Woman
25-34,Government,Other,19300,GBP,United Kingdom,5-7 years,Some college,Man
55-64,Business/Consulting,Administrative Assistant,65000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Information Technology,Other,98166,USD,United States,21 - 30 years,College degree,Man
25-34,Education,Director,63500,USD,United States,1 year or less,Master's degree,Woman
55-64,Other,QA/Test Engineer,58,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Nonprofit,Administrative Assistant,47700,USD,United States,2 - 4 years,College degree,Woman
55-64,Information Technology,Engineer (Non-software),87000,USD,United States,31 - 40 years,Some college,Man
35-44,Media/Entertainment,Other,48000,CAD,Canada,8 - 10 years,College degree,Woman
25-34,Education,Other,39635,USD,United States,2 - 4 years,College degree,Woman
25-34,Government,Other,53000,USD,United States,5-7 years,College degree,Man
45-54,Education,Other,47255,USD,United States,21 - 30 years,Some college,Woman
35-44,Engineering/Manufacturing,Project Manager,196000,USD,United States,11 - 20 years,College degree,Man
45-54,Health,Customer Service,34361,USD,United States,11 - 20 years,College degree,Woman
45-54,Engineering/Manufacturing,Engineer (Non-software),150000,USD,United States,21 - 30 years,College degree,Woman
25-34,Health,Graphic Designer,75000,USD,United States,5-7 years,College degree,Woman
35-44,Education,Other,20000,USD,United States,2 - 4 years,College degree,Woman
25-34,Information Technology,Financial Analyst,107220,USD,United States,5-7 years,Master's degree,Woman
35-44,Government,Manager (General),78000,CAD,Canada,5-7 years,College degree,Woman
45-54,Education,Professor/Faculty,95000,USD,United States,11 - 20 years,PhD,Man
45-54,Other,Manager (General),42000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Finance,Manager (General),100000,USD,United States,5-7 years,Master's degree,Woman
25-34,Information Technology,Software Engineer,50000,GBP,United Kingdom,2 - 4 years,High School,Man
35-44,Education,Director,119000,USD,United States,8 - 10 years,College degree,Woman
45-54,Finance,Other,66000,GBP,United Kingdom,21 - 30 years,Master's degree,Woman
35-44,Transportation,Project Manager,60000,EUR,Netherlands,11 - 20 years,Master's degree,Woman
25-34,Education,Director,75000,USD,United States,11 - 20 years,College degree,Woman
35-44,Education,Professor/Faculty,145000,USD,United States,2 - 4 years,PhD,Woman
25-34,Finance,Other,95000,CAD,Canada,2 - 4 years,College degree,Woman
25-34,Marketing,Content/Copywriter,48000,USD,United States,5-7 years,Master's degree,Woman
45-54,Finance,Director,75000,USD,United States,21 - 30 years,College degree,Woman
35-44,Media/Entertainment,Marketing Manager,42000,USD,United States,11 - 20 years,College degree,Woman
35-44,Nonprofit,Other,54000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Education,Professor/Faculty,92000,CAD,Canada,5-7 years,PhD,Woman
45-54,Government,Other,50870,GBP,United Kingdom,11 - 20 years,Master's degree,Woman
55-64,Health,Supervisor,60000,USD,United States,31 - 40 years,College degree,Woman
55-64,Nonprofit,Manager (General),101500,USD,United States,21 - 30 years,College degree,Woman
25-34,Education,Other,36883,USD,United States,2 - 4 years,College degree,Woman
25-34,Media/Entertainment,Writer/Editor,85000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Administrative Assistant,62000,USD,United States,5-7 years,College degree,Woman
35-44,Information Technology,Product Manager,130000,USD,United States,11 - 20 years,College degree,Man
55-64,Education,Other,55000,USD,United States,21 - 30 years,Master's degree,Woman
25-34,Government,Coordinator,59015,USD,United States,8 - 10 years,College degree,Woman
25-34,Business/Consulting,Manager (General),71000,USD,United States,5-7 years,College degree,Woman
45-54,Other,Director,53000,USD,United States,8 - 10 years,Master's degree,Woman
25-34,Other,Librarian,63000,USD,United States,5-7 years,Master's degree,Woman
35-44,Engineering/Manufacturing,Other,95000,USD,United States,21 - 30 years,College degree,Woman
35-44,Other,Manager (General),85000,AUD/NZD,Australia,8 - 10 years,Master's degree,Man
35-44,Nonprofit,Other,35000,USD,United States,11 - 20 years,Some college,Woman
18-24,Health,Customer Service,33280,USD,United States,2 - 4 years,College degree,Prefer not to answer
35-44,Finance,Manager (General),56000,USD,United States,8 - 10 years,Some college,Woman
35-44,Education,Director,85000,USD,United States,11 - 20 years,College degree,Woman
35-44,Education,Writer/Editor,62000,USD,United States,11 - 20 years,College degree,Woman
25-34,Legal,Lawyer/Attorney,74000,USD,United States,2 - 4 years,Master's degree,Prefer not to answer
25-34,Nonprofit,Other,63000,USD,United States,2 - 4 years,College degree,Woman
25-34,Other,Other,45000,GBP,United Kingdom,8 - 10 years,College degree,Woman
25-34,Education,Teacher (K-12),18000,EUR,Other,5-7 years,College degree,Woman
35-44,Nonprofit,Manager (General),86000,USD,United States,8 - 10 years,College degree,Woman
18-24,Education,Other,19000,GBP,United Kingdom,1 year or less,Master's degree,Man
35-44,Education,Other,42000,USD,United States,11 - 20 years,Master's degree,Man
55-64,Health,Manager (General),114000,USD,United States,8 - 10 years,College degree,Man
45-54,Finance,Customer Service,73000,USD,United States,31 - 40 years,High School,Woman
35-44,Nonprofit,Manager (General),54000,GBP,United Kingdom,11 - 20 years,College degree,Woman
45-54,Health,Analyst (General),100000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Media/Entertainment,Writer/Editor,27000,GBP,United Kingdom,5-7 years,College degree,Woman
18-24,Government,Analyst (General),60129,USD,United States,1 year or less,Master's degree,Woman
45-54,Other,Other,135000,USD,United States,11 - 20 years,PhD,Woman
25-34,Information Technology,Other,130000,USD,United States,5-7 years,College degree,Woman
25-34,Other,Librarian,26000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Finance,Accountant,60000,USD,United States,5-7 years,Master's degree,Woman
35-44,Nonprofit,Administrative Assistant,37000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,UX/UI Designer,85000,USD,United States,5-7 years,College degree,Woman
35-44,Media/Entertainment,Writer/Editor,45000,USD,United States,11 - 20 years,College degree,Woman
25-34,Nonprofit,Director,92000,USD,United States,5-7 years,Master's degree,Woman
25-34,Health,Therapist/Counselor,35,EUR,Other,2 - 4 years,College degree,Woman
25-34,Engineering/Manufacturing,Other,65000,USD,United States,2 - 4 years,College degree,Man
35-44,Marketing,Graphic Designer,35000,USD,United States,11 - 20 years,College degree,Woman
25-34,Finance,Other,74000,USD,United States,5-7 years,College degree,Woman
25-34,Engineering/Manufacturing,Director,102500,USD,United States,5-7 years,College degree,Man
25-34,Government,Analyst (General),117500,USD,United States,5-7 years,Master's degree,Prefer not to answer
35-44,Nonprofit,Coordinator,70000,USD,United States,11 - 20 years,Master's degree,Woman
45-54,Information Technology,Manager (General),140000,USD,United States,11 - 20 years,Some college,Woman
35-44,Other,Other,58000,USD,United States,8 - 10 years,Master's degree,Woman
35-44,Marketing,Consultant,400000,USD,United States,11 - 20 years,College degree,Woman
35-44,Nonprofit,Director,61200,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Marketing,Director,85000,GBP,United Kingdom,8 - 10 years,College degree,Woman
25-34,Other,Recruiter,66000,USD,United States,2 - 4 years,College degree,Woman
35-44,Information Technology,Other,70000,USD,United States,5-7 years,College degree,Woman
25-34,Education,Other,52000,USD,United States,5-7 years,College degree,Woman
45-54,Engineering/Manufacturing,Manager (General),75500,USD,United States,11 - 20 years,Some college,Woman
25-34,Marketing,Writer/Editor,57000,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Nonprofit,Other,83200,USD,United States,8 - 10 years,Master's degree,Woman
18-24,Marketing,Manager (General),77500,USD,United States,2 - 4 years,College degree,Woman
35-44,Retail/Sales,Other,31200,USD,United States,1 year or less,College degree,Woman
25-34,Health,Other,31000,GBP,United Kingdom,1 year or less,Master's degree,Woman
35-44,Marketing,Director,215000,USD,United States,11 - 20 years,College degree,Woman
25-34,Education,Other,55000,USD,United States,5-7 years,College degree,Man
45-54,Legal,Other,220000,USD,United States,11 - 20 years,PhD,Woman
25-34,Retail/Sales,Other,100000,USD,United States,8 - 10 years,College degree,Woman
25-34,Information Technology,Analyst (General),80000,USD,United States,2 - 4 years,Master's degree,Woman
35-44,Education,Director,63000,USD,United States,8 - 10 years,,Woman
25-34,Education,Librarian,52500,USD,United States,5-7 years,Master's degree,Woman
25-34,Media/Entertainment,UX/UI Designer,36000,EUR,France,2 - 4 years,Master's degree,Woman
25-34,Finance,Team Lead,94000,USD,United States,2 - 4 years,College degree,Woman
25-34,Engineering/Manufacturing,Engineer (Non-software),57000,USD,United States,5-7 years,College degree,Woman
35-44,Information Technology,Writer/Editor,83000,USD,United States,5-7 years,College degree,Woman
35-44,Nonprofit,Director,90000,USD,United States,11 - 20 years,College degree,Woman
35-44,Health,Manager (General),66950,USD,United States,5-7 years,College degree,Woman
25-34,Government,Other,76000,USD,United States,2 - 4 years,College degree,Woman
25-34,Engineering/Manufacturing,Principal/Administrator (Edu),52000,GBP,United Kingdom,8 - 10 years,Master's degree,Woman
25-34,Nonprofit,Project Manager,70000,USD,United States,5-7 years,Master's degree,Woman
25-34,Education,Professor/Faculty,60000,USD,United States,2 - 4 years,PhD,Prefer not to answer
35-44,Engineering/Manufacturing,Other,80000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Nonprofit,Other,70000,USD,United States,11 - 20 years,Master's degree,Woman
25-34,Education,Other,34299,USD,United States,2 - 4 years,Master's degree,Woman
25-34,Information Technology,Manager (General),90000,GBP,United Kingdom,11 - 20 years,Master's degree,Woman
35-44,Education,Director,50000,USD,United States,11 - 20 years,Master's degree,Woman
35-44,Health,Director,85000,USD,United States,5-7 years,College degree,Woman
